magnitude,date_time,cdi,mmi,alert,tsunami,sig,magType,depth,latitude,longitude
6.5,31-10-2019 01:11,9,7,green,1,733,mww,10,6.9098,125.178
6.6,29-10-2019 01:04,9,7,yellow,1,780,mww,15,6.7567,125.008
6.7,29-09-2019 15:57,7,6,green,1,844,mww,11,-35.4758,-73.163
6.5,25-09-2019 23:46,7,7,yellow,1,656,mww,12.26,-3.4528,128.37
6.6,01-09-2019 15:54,2,3,,1,671,mww,591,-20.3641,-178.57
6.6,27-08-2019 23:55,0,4,green,1,670,mww,16,-60.2152,-26.5801
6.9,02-08-2019 12:03,4,6,green,0,875,mww,49,-7.2822,104.791
6.8,01-08-2019 18:28,6,6,green,1,947,mww,25,-34.2364,-72.3102
6.6,31-07-2019 15:02,0,4,green,1,670,mww,181,-16.1985,167.998
7.2,14-07-2019 09:10,7,7,green,1,809,mww,18.98,-0.5858,128.034
6.6,14-07-2019 05:39,5,5,green,0,791,mww,10,-18.2242,120.358
6.9,07-07-2019 15:08,7,5,green,0,747,mww,35,0.5126,126.189
7.1,06-07-2019 03:19,9,9,yellow,0,1646,mw,8,35.7695,-117.599
7.3,24-06-2019 02:53,4,6,green,1,952,mww,212,-6.4078,129.169
7.3,15-06-2019 22:55,8,6,green,1,830,mww,46,-30.6441,-178.1
6.6,30-05-2019 09:03,7,6,yellow,1,886,mww,57.92,13.1994,-89.3056
8,26-05-2019 07:41,9,8,orange,1,1890,mww,122.57,-5.8119,-75.2697
7.6,14-05-2019 12:58,7,7,green,1,929,mww,10,-4.051,152.597
7.1,06-05-2019 21:19,7,6,yellow,1,826,mww,146,-6.9746,146.449
6.8,12-04-2019 11:40,5,6,green,1,717,mww,15.46,-1.8146,122.58
6.5,09-04-2019 17:53,0,5,green,1,650,mww,38,-58.6262,-25.304
7,01-03-2019 08:50,7,4,green,1,869,mww,267,-14.7131,-70.1546
7.5,22-02-2019 10:17,7,7,yellow,1,1145,mww,145,-2.1862,-77.0505
6.7,01-02-2019 16:14,6,6,yellow,1,909,mww,66,14.6802,-92.4527
6.7,22-01-2019 19:01,0,3,green,0,691,mww,13,-43.1219,42.3568
6.7,20-01-2019 01:32,8,8,orange,1,1600,mww,63,-30.0404,-71.3815
6.6,15-01-2019 18:06,5,4,green,1,671,mww,35,-13.336,166.875
6.6,06-01-2019 17:27,2,4,green,1,672,mww,43.21,2.258,126.758
6.8,05-01-2019 19:25,3,3,green,0,715,mww,570.41,-8.144,-71.587
7,29-12-2018 03:39,5,5,green,1,803,mww,60.21,5.8983,126.921
7.3,20-12-2018 17:01,3,7,green,1,822,mww,16.56,55.0999,164.699
7.1,11-12-2018 02:26,0,5,green,1,776,mww,133,-58.5446,-26.3856
6.6,05-12-2018 06:43,0,4,green,1,670,mww,10,-22.0629,169.733
7.5,05-12-2018 04:18,3,6,green,1,871,mww,10,-21.9496,169.427
7.1,30-11-2018 17:29,8,8,orange,1,1790,mw,46.7,61.3464,-149.955
6.8,18-11-2018 20:25,0,3,green,1,711,mww,540,-17.8735,-178.927
6.7,09-11-2018 01:49,3,4,green,1,693,mww,10,71.6312,-11.2431
6.8,25-10-2018 22:54,8,7,yellow,0,954,mww,14,37.5203,20.5565
6.5,22-10-2018 06:22,2,4,green,0,655,mww,10,49.297,-129.724
6.8,22-10-2018 06:16,4,4,green,1,776,mww,10,49.3346,-129.289
6.5,22-10-2018 05:39,3,4,green,1,669,mww,10,49.2586,-129.412
6.5,16-10-2018 01:03,0,4,green,1,650,mww,17,-21.7427,169.522
6.7,13-10-2018 11:10,0,3,green,1,691,mww,461,52.8549,153.243
6.5,10-10-2018 23:16,0,4,green,1,650,mww,20,49.2902,156.297
7,10-10-2018 20:48,6,6,green,1,758,mww,39,-5.7012,151.205
6.7,30-09-2018 10:52,2,3,green,1,691,mww,550,-18.3604,-178.063
7.5,28-09-2018 10:02,8,8,red,0,2026,mww,20,-0.2559,119.846
6.5,16-09-2018 21:11,4,1,green,0,651,mww,576,-25.415,178.199
6.9,10-09-2018 04:19,3,4,green,0,735,mww,115,-31.7447,-179.373
6.5,09-09-2018 19:31,3,6,green,1,651,mww,68,-10.0207,161.503
7.9,06-09-2018 15:49,7,4,green,1,979,mww,670.81,-18.4743,179.35
6.6,05-09-2018 18:07,8,9,orange,1,1075,mww,35,42.6861,141.929
7.1,29-08-2018 03:51,2,5,green,1,776,mww,21.43,-22.0295,170.126
7.1,24-08-2018 09:04,0,3,green,0,776,mww,630,-11.0355,-70.8284
6.5,21-08-2018 22:32,6,7,green,1,652,mww,9,-16.0315,168.143
7.3,21-08-2018 21:31,8,6,yellow,1,1570,mww,146.82,10.7731,-62.9019
6.9,19-08-2018 14:56,7,7,green,0,1206,mww,21,-8.319,116.627
8.2,19-08-2018 00:19,5,4,green,1,1050,mww,600,-18.1125,-178.153
6.5,17-08-2018 15:35,5,3,green,0,743,mww,529,-7.3718,119.802
6.5,15-08-2018 21:56,6,6,green,1,655,mww,33.93,51.4234,-178.026
6.9,05-08-2018 11:46,9,8,orange,0,1704,mww,34,-8.2581,116.438
6.9,04-05-2018 22:32,7,8,yellow,1,1392,mw,5.81,19.3182,-155
6.8,02-04-2018 13:40,5,3,green,0,733,mww,559,-20.6588,-63.0058
6.9,29-03-2018 21:25,9,6,green,1,741,mww,35,-5.5321,151.5
6.7,26-03-2018 09:51,5,6,green,1,696,mww,40,-5.5024,151.402
6.8,08-03-2018 17:39,6,6,green,1,719,mww,22.86,-4.3762,153.2
6.7,06-03-2018 14:13,8,7,green,1,697,mww,20.49,-6.3043,142.612
7.5,25-02-2018 17:44,9,8,yellow,1,943,mww,25.21,-6.0699,142.754
7.2,16-02-2018 23:39,7,7,yellow,1,1384,mww,22,16.3855,-97.9787
7.9,23-01-2018 09:31,9,4,green,1,1870,mww,14.06,56.0039,-149.166
7.1,14-01-2018 09:18,9,7,green,1,1075,mww,39,-15.7675,-74.7092
7.5,10-01-2018 02:51,8,5,green,1,1623,mww,19,17.4825,-83.52
6.5,15-12-2017 16:47,8,7,green,0,998,mww,90,-7.4921,108.174
6.5,13-12-2017 18:03,1,5,green,1,651,mww,17,-54.2189,2.1628
7,19-11-2017 22:43,4,6,green,1,771,mww,10,-21.3246,168.671
6.6,19-11-2017 15:09,4,5,green,1,676,mww,13,-21.5027,168.598
6.5,13-11-2017 02:28,8,8,yellow,1,1153,mww,19.36,9.5147,-84.4865
7.3,12-11-2017 18:18,8,9,red,0,2790,mww,19,34.9109,45.9592
6.5,07-11-2017 21:26,6,5,green,1,661,mww,110.57,-4.2433,143.485
6.8,04-11-2017 09:00,5,5,green,1,727,mww,10,-15.3197,-173.168
6.6,01-11-2017 02:23,3,5,green,1,674,mww,22,-21.6484,168.859
6.7,31-10-2017 00:42,3,4,green,1,691,mww,24,-21.6971,169.148
6.7,24-10-2017 10:47,3,3,green,0,694,mww,553.81,-7.2168,123.074
6.5,08-10-2017 22:34,3,5,green,1,651,mww,119,52.3909,176.769
7.1,19-09-2017 18:14,9,8,,0,1686,mww,48,18.5499,-98.4887
8.2,08-09-2017 04:49,9,7,red,1,2910,mww,47.39,15.0222,-93.8993
6.5,08-08-2017 13:19,5,7,yellow,0,707,mww,9,33.1926,103.855
6.6,20-07-2017 22:31,7,7,yellow,0,1064,mww,7,36.9293,27.4139
7.7,17-07-2017 23:34,8,7,green,1,918,mww,10,54.4434,168.857
6.6,11-07-2017 07:00,5,4,green,1,704,mww,10,-49.4837,164.016
6.5,06-07-2017 08:03,9,8,yellow,1,740,mww,9,11.1269,124.629
6.8,22-06-2017 12:31,6,6,yellow,1,1034,mww,38.12,13.7174,-90.9718
6.9,14-06-2017 07:29,8,6,yellow,1,1188,mww,93,14.9091,-92.0092
6.8,02-06-2017 22:24,0,4,green,1,711,mww,5,54.0312,170.92
6.6,29-05-2017 14:35,7,7,green,0,678,mww,12,-1.2923,120.431
6.5,10-05-2017 23:23,0,4,green,1,650,mww,15,-56.414,-25.7432
6.8,09-05-2017 13:52,6,5,green,1,713,mww,169,-14.5884,167.377
6.9,28-04-2017 20:23,9,6,green,1,814,mww,26,5.5043,125.066
6.9,24-04-2017 21:38,9,7,yellow,1,1642,mww,28,-33.0375,-72.0617
6.5,03-04-2017 17:40,7,8,green,0,1297,mww,29,-22.6784,25.1558
6.6,29-03-2017 04:09,6,7,yellow,1,671,mww,17,56.9401,162.786
6.9,24-02-2017 17:28,2,3,green,1,733,mww,414.5,-23.2593,-178.804
6.5,21-02-2017 14:09,3,3,green,0,653,mww,595.98,-19.2814,-63.9047
6.5,10-02-2017 14:03,8,7,yellow,1,718,mww,15,9.9071,125.452
7.9,22-01-2017 04:30,9,7,yellow,1,987,mww,135,-6.2464,155.172
